COW,DATE,MILK,CONCENTRATED FEEDING,RELATION,PADDOCK
10,6-jul,14.0,2.0,7.0,2.0
10,13-jul,12.0,2.0,6.0,1.0
10,20-jul,11.5,2.0,5.8,4.0
10,27-jul,9.5,0.0,0.0,5.0
10,3-ago,0.0,0.0,0.0,3.0
10,10-ago,0.0,0.0,0.0,2.0
10,17-ago,0.0,0.0,0.0,0.0
10,24-ago,0.0,0.0,0.0,1.0
10,31-ago,0.0,0.0,0.0,1.0
10,6-sep,0.0,0.0,0.0,4.0
10,13-sep,0.0,0.0,0.0,5.0
10,21-sep,0.0,0.0,0.0,0.0
10,28-sep,0.0,0.0,0.0,0.0
10,4-oct,25.5,8.0,3.2,2.0
10,12-oct,20.5,4.0,5.1,1.0
10,19-oct,0.0,0.0,0.0,0.0
10,26-oct,0.0,0.0,0.0,0.0
10,2-nov,0.0,0.0,0.0,0.0
10,9-nov,0.0,0.0,0.0,0.0
10,15-nov,0.0,0.0,0.0,0.0
10,23-nov,0.0,0.0,0.0,2.0
10,30-nov,28.0,10.0,2.8,1.0
10,7-dic,34.0,10.0,3.4,4.0
10,14-dic,35.0,10.0,3.5,4.0
10,22-dic,29.0,10.0,2.9,5.0
10,28-dic,34.5,10.0,3.5,3.0
11,5-ene,20.0,4.0,5.0,2.0
11,12-ene,20.0,4.0,5.0,2.0
11,19-ene,20.0,4.0,5.0,3.0
11,26-ene,20.0,4.0,5.0,4.0
11,2-feb,0.0,0.0,0.0,5.0
11,9-feb,0.0,0.0,0.0,3.0
11,16-feb,0.0,0.0,0.0,2.0
11,23-feb,0.0,0.0,0.0,1.0
11,2-mar,0.0,0.0,0.0,0.0
11,9-mar,0.0,0.0,0.0,0.0
11,17-mar,0.0,0.0,0.0,0.0
11,23-mar,0.0,0.0,0.0,0.0
11,30-mar,0.0,0.0,0.0,0.0
11,6-abr,0.0,0.0,0.0,0.0
11,14-abr,0.0,0.0,0.0,0.0
11,20-abr,0.0,0.0,0.0,0.0
11,27-abr,0.0,0.0,0.0,0.0
11,4-may,0.0,0.0,0.0,0.0
11,11-may,0.0,0.0,0.0,0.0
11,18-may,0.0,0.0,0.0,0.0
11,25-may,0.0,0.0,0.0,0.0
11,1-jun,0.0,0.0,0.0,1.0
11,8-jun,0.0,0.0,0.0,4.0
11,15-jun,0.0,0.0,0.0,5.0
11,23-jun,0.0,0.0,0.0,3.0
11,26-jun,0.0,0.0,0.0,0.0
11,1-jul,0.0,0.0,0.0,2.0
11,6-jul,0.0,0.0,0.0,2.0
11,13-jul,0.0,0.0,0.0,1.0
11,20-jul,0.0,0.0,0.0,4.0
11,27-jul,0.0,0.0,0.0,5.0
11,3-ago,0.0,0.0,0.0,3.0
11,10-ago,0.0,0.0,0.0,2.0
11,17-ago,0.0,0.0,0.0,0.0
11,24-ago,0.0,0.0,0.0,1.0
11,31-ago,0.0,0.0,0.0,1.0
11,6-sep,0.0,0.0,0.0,4.0
11,13-sep,0.0,0.0,0.0,5.0
11,21-sep,0.0,0.0,0.0,0.0
11,28-sep,0.0,0.0,0.0,0.0
11,4-oct,22.0,6.0,3.7,2.0
11,12-oct,21.5,6.0,3.6,1.0
11,19-oct,0.0,0.0,0.0,0.0
11,26-oct,0.0,0.0,0.0,0.0
11,2-nov,0.0,0.0,0.0,0.0
11,9-nov,0.0,0.0,0.0,0.0
11,15-nov,0.0,0.0,0.0,0.0
11,23-nov,0.0,0.0,0.0,0.0
11,30-nov,0.0,0.0,0.0,0.0
11,7-dic,0.0,0.0,0.0,0.0
11,14-dic,0.0,0.0,0.0,0.0
11,22-dic,0.0,0.0,0.0,0.0
11,28-dic,0.0,0.0,0.0,0.0
12,5-ene,20.0,4.0,5.0,2.0
12,12-ene,21.0,4.0,5.3,2.0
12,19-ene,20.0,4.0,5.0,3.0
12,26-ene,18.5,4.0,4.6,4.0
12,2-feb,17.5,4.0,4.4,5.0
12,9-feb,15.0,2.0,7.5,3.0
12,16-feb,14.0,2.0,7.0,2.0
12,23-feb,0.0,0.0,0.0,1.0
12,2-mar,0.0,0.0,0.0,0.0
12,9-mar,0.0,0.0,0.0,0.0
12,17-mar,0.0,0.0,0.0,0.0
12,23-mar,0.0,0.0,0.0,0.0
12,30-mar,0.0,0.0,0.0,0.0
12,6-abr,0.0,0.0,0.0,0.0
12,14-abr,0.0,0.0,0.0,0.0
12,20-abr,0.0,0.0,0.0,0.0
12,27-abr,31.5,10.0,3.2,5.0
12,4-may,35.0,10.0,3.5,5.0
12,11-may,35.0,10.0,3.5,3.0
